,,,,,
,,,,,
,Pillar 3: Decisiveness,,,,
"Definition: Measures how ready, able, and willing the prospect is to make a decision now. ",,,,,
,,,,,
Indicator ID,Indicator Name,Score Level,Domain,Sample Question,Example Prospect Answer
1,Decision Ownership,Low (1–3),Personal Dev,"""Is this your decision to make on your own?""","""I’ll probably need to talk it through with my mom and best friend."""
1,Decision Ownership,Mid (4–6),Personal Dev,"""Who else influences this decision?""","""I usually check with a friend or two before big investments."""
1,Decision Ownership,High (7–10),Personal Dev,"""Are you the one who ultimately decides if you move forward?""","""Yes. If I feel it’s right, I decide."""
1,Decision Ownership,Low (1–3),B2B,"""Do you make the final call on solutions like this?""","""Not really — I just gather info for our director."""
1,Decision Ownership,Mid (4–6),B2B,"""What’s your role in the decision-making process?""","""I’m part of the shortlisting group, but final approval is with leadership."""
1,Decision Ownership,High (7–10),B2B,"""Can you greenlight this if it fits?""","""Yes, I manage the budget and sign-off."""
1,Decision Ownership,Low (1–3),Real Estate,"""Is there anyone else who needs to agree to the sale?""","""My ex and I co-own the house, and we’re not aligned."""
1,Decision Ownership,Mid (4–6),Real Estate,"""Do you need input from family before accepting offers?""","""My parents are helping with advice."""
1,Decision Ownership,High (7–10),Real Estate,"""Are you the sole decision maker on selling this property?""","""Yes. It’s in my name — I’m ready to make a move."""
2,Speed of Past Decisions,Low (1–3),Personal Dev,"""How long do you usually take to decide on coaching?""","""I sit with it for weeks or months."""
2,Speed of Past Decisions,Mid (4–6),Personal Dev,"""When something feels important, how fast do you act?""","""I like to think about it for a few days."""
2,Speed of Past Decisions,High (7–10),Personal Dev,"""When you know something’s right, what happens?""","""I act fast. Once it clicks, I’m in."""
2,Speed of Past Decisions,Low (1–3),B2B,"""How long do decisions like this take?""","""Months — lots of red tape."""
2,Speed of Past Decisions,Mid (4–6),B2B,"""What’s your average approval timeline?""","""Usually a few weeks after review."""
2,Speed of Past Decisions,High (7–10),B2B,"""When leadership is aligned, how fast do you go?""","""We can approve within days."""
2,Speed of Past Decisions,Low (1–3),Real Estate,"""How do you approach major decisions?""","""Very cautiously. I need a lot of time."""
2,Speed of Past Decisions,Mid (4–6),Real Estate,"""When you bought this home, how long did it take?""","""We took a couple weeks to compare options."""
2,Speed of Past Decisions,High (7–10),Real Estate,"""How fast do you decide when it feels right?""","""Immediately. I move when the deal makes sense."""
3,Commitment to Solve,Low (1–3),Personal Dev,"""Is this something you feel must change?""","""Not really. Just curious."""
3,Commitment to Solve,Mid (4–6),Personal Dev,"""How ready are you to address this?""","""I think I’m ready to take it more seriously."""
3,Commitment to Solve,High (7–10),Personal Dev,"""What makes now the right time to do something about it?""","""I’m done tolerating it. This changes now."""
3,Commitment to Solve,Low (1–3),B2B,"""Is this a firm initiative or early research?""","""More early-stage — we’re exploring."""
3,Commitment to Solve,Mid (4–6),B2B,"""How committed is your team to solving this this quarter?""","""We’re committed but juggling priorities."""
3,Commitment to Solve,High (7–10),B2B,"""Is this something you’re planning to fix no matter what?""","""Yes. The team is aligned — it must happen."""
3,Commitment to Solve,Low (1–3),Real Estate,"""Are you definitely planning to sell, or just exploring?""","""Just testing the waters."""
3,Commitment to Solve,Mid (4–6),Real Estate,"""Are you leaning toward listing soon?""","""Yes, but we still have a few things to figure out."""
3,Commitment to Solve,High (7–10),Real Estate,"""What happens if you don’t sell soon?""","""That’s not an option — we’re moving regardless."""
4,Decision-Making Style,Low (1–3),Personal Dev,"""How do you make important decisions?""","""I second-guess a lot. I go back and forth."""
4,Decision-Making Style,Mid (4–6),Personal Dev,"""Logic or feeling — what drives your decisions?""","""Bit of both. I think a lot before I act."""
4,Decision-Making Style,High (7–10),Personal Dev,"""When something feels aligned, what happens next?""","""I get clear fast. I trust myself and go."""
4,Decision-Making Style,Low (1–3),B2B,"""Data-driven or consensus-based process?""","""Mostly consensus, which can take a while."""
4,Decision-Making Style,Mid (4–6),B2B,"""Typical buying framework?""","""We like ROI models and peer input."""
4,Decision-Making Style,High (7–10),B2B,"""Decision process when it’s a clear fit?""","""If ROI is strong and pain is clear, we greenlight fast."""
4,Decision-Making Style,Low (1–3),Real Estate,"""How did you decide to buy this home?""","""Wasn’t sure — long debate."""
4,Decision-Making Style,Mid (4–6),Real Estate,"""How do you approach big financial decisions?""","""We weigh pros/cons and talk it through."""
4,Decision-Making Style,High (7–10),Real Estate,"""When numbers and timing align, how do you decide?""","""We move quickly. We’ve done this before and know what to look for."""
